type,title,date_added,release_year,rating,listed_in
TV Show,**The Pharmacist**,02/05/2020,2020C,",?TV-MA","Crime TV Shows, Docuseries"
Movie,**Uppity: The Willy T. Ribbs Story**,02/05/2020,2020,",?TV-MA","Documentaries, Sports Movies"
Movie,**Dragonheart: Vengeance**,02/04/2020,2020,",?PG-13","Action & Adventure, Sci-Fi & Fantasy"
Movie,"**Faith, Hope & Love**",02/04/2020,2019,",?PG","Comedies, Faith & Spirituality, Romantic Movies"
Movie,**Tom Papa: You're Doing Great!**,02/04/2020,2020c,",?TV-14",Stand-Up Comedy
Movie,**Thambi**,02/03/2020,2019c,",?TV-14","International Movies, Thrillers"
Movie,**The Silent War**,02/03/2020,2020s,",?TV-MA","Dramas, International Movies, Thrillers"
Movie,**Chronically Metropolitan**,02/01/2020,2016s,",?TV-MA","Comedies, Dramas, Independent Movies"
Movie,**Hum Aapke Hain Koun**,02/01/2020,1994s,",?TV-14","Classic Movies, Dramas, International Movies"
Movie,**Justice**,02/01/2020,2017,",?R",Movies
Movie,**Love Jacked**,02/01/2020,2018C,",?PG-13","Comedies, International Movies, Romantic Movies"
TV Show,**Miraculous: Tales of Ladybug & Cat Noir**,02/01/2020,2019,",?TV-Y7","Kids' TV, TV Action & Adventure"
Movie,**Misfit 2**,02/01/2020,2019),",?TV-G","Children & Family Movies, Comedies, International Movies"
Movie,**The Car: Road to Revenge**,02/01/2020,2019c,",?TV-MA","Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
Movie,**Together For Eternity**,02/01/2020,1999s,",?TV-G","Dramas, International Movies, Music & Musicals"
Movie,**37 Seconds**,1/31/2020,2020S,",?TV-MA","Dramas, International Movies"
Movie,**Gang of the Caribbean**,1/31/2020,2016S,",?TV-MA","Dramas, International Movies"
Movie,**Hakkunde**,1/31/2020,2017s,",?TV-14","Comedies, Dramas, Independent Movies"
Movie,**Miss Americana**,1/31/2020,2020,",?TV-MA","Documentaries, Music & Musicals"
Movie,**Kevin Hart: I'm a Grown Little Man**,1/30/2020,2009c,",?TV-MA",Stand-Up Comedy
Movie,**Close Enemies**,1/29/2020,2018c,",?TV-MA","Dramas, International Movies"
Movie,**Shimla Mirchi**,1/27/2020,2020,",?TV-14","Comedies, International Movies, Romantic Movies"
Movie,**Sillu Karuppatti**,1/26/2020,2019),",?TV-14","Comedies, Dramas, Independent Movies"
Movie,**Vir Das: For India**,1/26/2020,2020),",?TV-MA",Stand-Up Comedy
Movie,**Menashe**,1/25/2020,2017c,",?PG","Dramas, Independent Movies"
