id,date,month,day,year,country_name,landslide_type,trigger
1039,6/19/09,,,,United States,Rockfall,Downpour
1040,6/21/09,,,18:00:00,United States,Mudslide,Downpour
1069,7/31/09,,,Night,United States,Mudslide,Rain
1105,8/19/09,,,,United States,Landslide,Unknown
1116,8/20/09,,,,United States,Landslide,Rain
1117,8/21/09,,,,Trinidad and Tobago,Landslide,Downpour
1131,09/01/2009,,,,Mexico,Mudslide,Tropical cyclone
1140,09/07/2009,,,Early morning,Haiti,Mudslide,Downpour
1155,09/11/2009,,,,United States,Mudslide,Downpour
1167,9/15/09,,,,Mexico,Mudslide,Downpour
1177,9/20/09,,,,Dominican Republic,Landslide,Downpour
1178,9/20/09,,,,Dominican Republic,Landslide,Downpour
1180,9/20/09,,,,United States,Mudslide,Downpour
1182,9/21/09,,,,United States,Mudslide,Downpour
1183,9/21/09,,,,United States,Mudslide,Downpour
1184,9/21/09,,,Early morning,United States,Mudslide,Rain
1185,9/21/09,,,,United States,Landslide,Downpour
1186,12/28/09,,,Night,Ecuador,Mudslide,Downpour
1194,9/26/09,,,,United States,Mudslide,Downpour
1195,9/26/09,,,,United States,Mudslide,Downpour
1256,10/12/2009,,,,United States,Landslide,Rain
1265,10/17/09,,,,United States,Rockfall,Downpour
1266,10/20/09,,,,Haiti,Landslide,Downpour
1285,11/08/2009,,,,El Salvador,Complex,Tropical cyclone
1286,11/08/2009,,,,El Salvador,Mudslide,Tropical cyclone
1287,11/08/2009,,,,El Salvador,Rockfall,Tropical cyclone
1288,11/08/2009,,,,El Salvador,Mudslide,Tropical cyclone
1294,11/11/2009,,,,United States,Mudslide,Rain
1296,11/13/09,,,,Costa Rica,Landslide,Earthquake
1307,11/17/09,,,,United States,Mudslide,Downpour
1353,12/09/2009,,,,United States,Mudslide,Downpour
1354,12/09/2009,,,,United States,Mudslide,Downpour
1355,12/09/2009,,,,United States,Mudslide,Downpour
1357,12/12/2009,,,,United States,Landslide,Rain
1358,12/13/09,,,,United States,Complex,Downpour
1367,12/18/09,,,,United States,Mudslide,Downpour
1391,01/10/2010,,,,Jamaica,Landslide,Downpour
1393,01/10/2010,,,Night,Ecuador,Mudslide,Rain
1431,1/21/10,,,Morning,United States,Mudslide,Downpour
1434,1/21/10,,,22:00:00,United States,Complex,Downpour
1435,1/21/10,,,,United States,Debris flow,Downpour
1439,1/21/10,,,17:36:00,United States,Mudslide,Downpour
1441,1/22/10,,,,United States,Mudslide,Downpour
1448,1/24/10,,,Overnight,United States,Mudslide,Downpour
1449,1/24/10,,,16:30:00,United States,Mudslide,Downpour
1450,1/24/10,,,,United States,Mudslide,Downpour
1452,1/25/10,,,Overnight,United States,Complex,Downpour
1453,1/25/10,,,Morning,United States,Mudslide,Downpour
1454,1/25/10,,,13:40:00,United States,Mudslide,Downpour
1455,1/25/10,,,Early morning,United States,Mudslide,Downpour
1456,1/26/10,,,,United States,Complex,Downpour
1459,1/28/10,,,15:00:00,Peru,Complex,Downpour
1465,02/03/2010,,,,Ecuador,Mudslide,Downpour
1467,02/04/2010,,,7:00:00,United States,Rockfall,Rain
1469,02/05/2010,,,,Mexico,Landslide,Downpour
1470,02/05/2010,,,,Mexico,Mudslide,Downpour
1471,02/05/2010,,,,Mexico,Mudslide,Downpour
1472,02/05/2010,,,,Mexico,Mudslide,Downpour
1474,02/05/2010,,,19:00:00,United States,Mudslide,Downpour
1477,02/04/2010,,,22:00,Mexico,Mudslide,Downpour
1484,02/06/2010,,,,United States,Mudslide,Downpour
1485,02/06/2010,,,,United States,Landslide,Downpour
1490,02/08/2010,,,0:00:00,United States,Mudslide,Rain
1506,2/15/10,,,12:00,Haiti,Mudslide,Downpour
1525,2/25/10,,,6:45:00,United States,Complex,Rain
1531,2/27/10,,,,United States,Mudslide,Downpour
1552,03/11/2010,,,,Dominica,Landslide,Rain
1555,03/11/2010,,,,United States,Landslide,Downpour
1556,03/11/2010,,,Afternoon,United States,Landslide,Downpour
1557,03/11/2010,,,18:15:00,United States,Mudslide,Downpour
1562,03/12/2010,,,,United States,Mudslide,Downpour
1564,3/13/10,,,,United States,Mudslide,Downpour
1565,3/13/10,,,Night,United States,Mudslide,Downpour
1566,3/13/10,,,,United States,Landslide,Downpour
1567,3/14/10,,,16:30:00,United States,Mudslide,Downpour
1568,3/14/10,,,,United States,Mudslide,Downpour
1569,3/14/10,,,,United States,Mudslide,Downpour
1570,3/14/10,,,,United States,Landslide,Downpour
1575,3/15/10,,,2:00:00,United States,Mudslide,Rain
1576,3/15/10,,,19:00:00,United States,Landslide,Downpour
1578,3/16/10,,,Late morning,United States,Mudslide,Downpour
1579,3/18/10,,,,United States,Landslide,Downpour
1584,3/21/10,,,Overnight,United States,Landslide,Downpour
1591,3/25/10,,,Early morning,United States,Landslide,Downpour
1595,3/26/10,,,23:30:00,United States,Landslide,Downpour
1599,3/29/10,,,11:00:00,United States,Mudslide,Downpour
1601,3/30/10,,,15:00:00,United States,Landslide,Rain
1602,3/30/10,,,,United States,Mudslide,Downpour
1603,3/30/10,,,7:19:00,United States,Mudslide,Downpour
1604,3/30/10,,,Early morning,United States,Mudslide,Rain
1605,3/30/10,,,,United States,Landslide,Rain
1606,3/30/10,,,,United States,Landslide,Downpour
1608,3/31/10,,,Evening,United States,Landslide,Rain
1612,04/01/2010,,,Early morning,Peru,Lahar,Downpour
